Date 	series 	OPEN 	HIGH 	LOW 	PREV. CLOSE 	ltp 	close 	vwap 	52W H 	52W L 	VOLUME 	VALUE 	No of trades 
02-Dec-22	EQ	66.75	68.9	66.5	66.65	68.75	68.55	67.97	158	40.6	"9,62,62,543"	"6,54,27,74,698.50"	"1,16,131"
01-Dec-22	EQ	66.5	67.15	65.4	65.25	66.5	66.65	66.3	158	40.6	"8,36,10,566"	"5,54,35,28,716.55"	"1,41,031"
30-Nov-22	EQ	63	66.8	61.9	63.55	65.8	65.25	63.34	158	40.6	"54,97,18,630"	"34,82,18,16,515.30"	"2,76,443"
29-Nov-22	EQ	64.4	64.9	63	64.4	63.35	63.55	64	158	40.6	"3,22,30,342"	"2,06,27,18,432.05"	"69,647"
28-Nov-22	EQ	64.25	65.3	63.8	64	63.9	64.4	64.62	158	40.6	"5,34,53,545"	"3,45,44,14,649.55"	"96,583"
25-Nov-22	EQ	64	64.9	63.05	63.2	63.7	64	63.9	161.3	40.6	"7,42,37,526"	"4,74,40,18,907.05"	"1,31,240"
24-Nov-22	EQ	62.3	64.1	62.05	61.75	63.45	63.2	63.22	161.3	40.6	"9,06,79,986"	"5,73,26,46,290.85"	"1,28,863"
23-Nov-22	EQ	63.5	64.3	61.4	63.95	61.7	61.75	62.42	161.3	40.6	"6,98,15,602"	"4,35,82,11,508.05"	"1,71,228"
22-Nov-22	EQ	64.9	64.9	63.3	64.3	63.9	63.95	64.11	161.3	40.6	"5,07,15,391"	"3,25,14,03,896.75"	"1,13,993"
21-Nov-22	EQ	66.4	66.4	63.8	67.15	64.3	64.3	64.68	161.3	40.6	"8,59,98,316"	"5,56,24,20,592.00"	"1,89,161"
18-Nov-22	EQ	68.15	69.35	66.9	67.7	67.2	67.15	68.03	169	40.6	"6,28,55,692"	"4,27,62,85,851.60"	"1,02,989"
17-Nov-22	EQ	68.4	69.8	67.5	68.7	67.7	67.7	68.39	169	40.6	"6,01,15,704"	"4,11,12,71,569.30"	"95,396"
16-Nov-22	EQ	69.95	70.5	67.7	69.95	68.65	68.7	68.81	169	40.6	"7,54,25,523"	"5,18,97,92,794.90"	"1,25,882"
15-Nov-22	EQ	69.6	71.15	69.1	69.6	69.75	69.95	70.15	169	40.6	"6,83,97,103"	"4,79,83,92,343.75"	"1,32,380"
14-Nov-22	EQ	74.3	75.45	69.05	72.8	69.35	69.6	71.31	169	40.6	"18,67,27,024"	"13,31,58,15,551.85"	"2,78,208"
11-Nov-22	EQ	66	73.55	65.5	63.95	72.65	72.8	70.59	169	40.6	"39,77,58,848"	"28,07,81,06,983.35"	"5,41,846"
10-Nov-22	EQ	65.5	65.95	63.15	65.3	63.65	63.95	64.18	169	40.6	"4,43,32,611"	"2,84,52,98,225.55"	"87,501"
09-Nov-22	EQ	65.45	67.5	65	65.1	65.15	65.3	66.26	169	40.6	"8,74,24,592"	"5,79,28,24,434.70"	"1,29,447"
07-Nov-22	EQ	63.85	65.45	63.25	63	64.9	65.1	64.45	169	40.6	"5,68,15,391"	"3,66,16,48,336.00"	"89,105"
04-Nov-22	EQ	62.75	63.65	62.45	62.2	63.15	63	62.91	169	40.6	"3,52,96,904"	"2,22,05,34,506.15"	"75,971"
03-Nov-22	EQ	62.8	62.8	62	63	62.25	62.2	62.36	169	40.6	"3,17,29,457"	"1,97,86,82,157.55"	"68,731"
02-Nov-22	EQ	63.75	64.7	62.7	63.5	62.85	63	63.59	169	40.6	"5,29,15,032"	"3,36,47,06,348.15"	"73,472"
